索引ページ,列,行,用語,掲載ページ,要確認の理由,読み取り候補1,読み取り候補2
937,1,2,IMAP,592,用語の読み取り候補が不一致,IMAP,IMAPcones
937,1,3,IN,"462,472",用語の読み取り候補が不一致,IN,INCenedeeOPOREOSESOEOEREHOREESEEROSERSREREESEOSEDSHONEREEOEE
937,1,5,TTY,607,英字の用語が不鮮明 / ページ認識の確度,,TTY
937,1,7,INSERT文,479,用語の読み取り候補が不一致,INSERT文,INSERTXSeeda
937,1,8,Integrated DriveElectronics,260,用語の読み取り候補が不一致,Integrated DriveElectronics,IntegratedDriveElectroniCcS
937,1,12,InternetofThings,598,用語の読み取り候補が不一致,InternetofThings,InternetofThingsseeaeu
937,1,13,InternetProtocol,548,用語の読み取り候補が不一致,InternetProtocol,InternetProtocoleoeo
937,1,14,InternetProtocol Version6,557,用語の読み取り候補が不一致,InternetProtocol Version6,InternetProtocolVersion6NT
937,1,15,loT,598,用語の読み取り候補が不一致,loT,loTapeanessaeapaoeaesseaeqaeaogeoasesseoosanaagiappaeooeeaoaox
937,1,18,IPsec,663,用語の読み取り候補が不一致,IPsec,IPsecTTY
937,1,19,IPv6,557,用語の読み取り候補が不一致,IPv6,IPv
937,1,22,IPアドレスのクラス,552,用語の読み取り候補が不一致,IP,IPアドレスのクラス
937,1,23,IPアドレスの変換,561,用語の読み取り候補が不一致,IPの变换,IPアドレスの変換
937,1,24,IPマスカレード,564,用語の読み取り候補が不一致,IP,IPマスカレード
937,1,25,IrDA,264,用語の読み取り候補が不一致,IrDA,IrDATL
937,1,26,isa関係,732,用語の読み取り候補が不一致,isa阅係,isa関係
937,1,27,ISMS,607,用語の読み取り候補が不一致,ISMS,ISMSTTY
937,1,28,ISMS週合性評価制,607,用語の読み取り候補が不一致,ISMS避合性佰制度,ISMS週合性評価制
937,1,31,ITIL,817,用語の読み取り候補が不一致,ITIL,ITILea
937,1,32,ITガバナンス,826,用語の読み取り候補が不一致,IT,ITガバナンス
937,1,33,ITサービス継続性管理,821,用語の読み取り候補が不一致,I一继性管理,ITサービス継続性管理
937,1,38,Java,353,用語の読み取り候補が不一致,Java,JavaPUTUTTTT
937,1,39,JavaScript,353,用語の読み取り候補が不一致,JavaScript,JavaScriptee
937,1,41,JCL,288,用語の読み取り候補が不一致,JCL,ICLwenn
937,1,43,Job Control Language,288,用語の読み取り候補が不一致,Job Control Language,JobControlLanguag
937,1,44,JPCERT/CC,615,ページ認識の確度 / 用語の読み取り候補が不一致,JPCERT/CC,JPCERT/
937,1,45,JPCERTコーディネーションセンタ,615,用語の読み取り候補が不一致,JPERT,JPCERTコーディネーションセンタ
937,1,46,k(キロ)mecesccanso,124,用語の読み取り候補が不一致,k（≠口）,k(キロ)mecesccanso
937,1,48,LAN,504,用語の読み取り候補が不一致,LAN,LANasscS。55aae
937,1,49,LANの接続形能,507,用語の読み取り候補が不一致,LANの接統形,LANの接続形能
937,1,51,Large ScaleIntegration,156,用語の読み取り候補が不一致,Large ScaleIntegration,LargeScaleIntegrationaecececea
937,1,52,Last In First Out,339,用語の読み取り候補が不一致,Last In First Out,LastInFirstOuteoo
937,2,3,log,66,ページ認識の確度,log,logee
937,2,4,LRU方式,339,ページ認識の確度,LRU方式,LRU方式
937,2,5,LSI,156,ページ認識の確度 / 用語の読み取り候補が不一致,LSI,LSIease
937,2,6,M&A,875,用語の読み取り候補が不一致,M&A,M&ATTYTTUTTUTUTUTUUTUTUTUUTUTU
937,2,7,m(ミリ)ee,124,ページ認識の確度,m(EU),m(ミリ)ee
937,2,9,MacOS,28,ページ認識の確度 / 用語の読み取り候補が不一致,MacOS,MacOSee
937,2,13,Management Of Technology,862,用語の読み取り候補が不一致,Management Of Technology,ManagementOfTechnologywevecenvsccersccosees
937,2,14,MAX,466,用語の読み取り候補が不一致,MAX,MAXcascccsccocencepacssscascansduscosancecscepenceceacsuccancceaccces
937,2,17,Mean TimeBetweenFailure,781,用語の読み取り候補が不一致,Mean TimeBetweenFailure,MeanTimeBetweenFailur
937,2,18,MeanTimeToRepair,782,用語の読み取り候補が不一致,MeanTimeToRepair,MeanTimeToRepairee
937,2,21,Million Instructions Per Second,191,用語の読み取り候補が不一致,Million Instructions Per Second,MillionInstructionsPerSecond::
937,2,23,MIN,466,ページ認識の確度,MIN,MINrr
937,2,27,MOT,862,用語の読み取り候補が不一致,MOT,MOTease
937,2,28,MS-DOS,284,ページ認識の確度,MS-DOS,MS-DOS
937,2,29,n!,68,ページ認識の確度 / 用語に記号が混入,n!,ni
937,2,31,NAND,141,ページ認識の確度,NAND,NAND
937,2,32,NAPT,564,用語の読み取り候補が不一致,NAPT,NAPTA
937,2,35,NetworkTimeProtocol,573,用語の読み取り候補が不一致,NetworkTimeProtocol,NetworkTimeProtocolee
937,2,36,NIC,525,用語の読み取り候補が不一致,NIC,NICteensTTY
937,2,37,non-repudiation,609,用語の読み取り候補が不一致,non-repudiation,non-repudiatio
937,2,38,NOR,141,ページ認識の確度,NOR,NORaaa
937,2,39,NOT,"56,141",用語の読み取り候補が不一致,NOT,NOTcoveccoveccesvece
937,2,40,NO,445,ページ認識の確度,NO,NO
937,2,43,n重程,80,ページ認識の確度 / 用語の読み取り候補が不一致,n重程,n#VIVIDARTUTTI
937,2,44,n進数icmecadosata,"24,27",用語の読み取り候補が不一致,n进数,n進数icmecadosata
937,2,45,OCRいいeeきらaaちいるのささらeeるもららSeるるももるもも,268,ページ認識の確度 / 用語の読み取り候補が不一致,OCR,OCRいいeeきらaaちいるのささらeeるもららSeるるももるもも
937,2,47,On-the-Go,262,用語の読み取り候補が不一致,On-the-Go,On-the-Goeevee
937,2,48,penFlow AAR,533,補完した行を要確認,,penFlow AAR 
937,2,49,OperatingSystem,280,用語の読み取り候補が不一致,OperatingSystem,OperatingSystemocebev
938,1,6,OS,280,ページ認識の確度,OS,OS
938,1,7,OSI基本参照儿,"518,524",用語の読み取り候補が不一致,OSI基本参照儿,OSIBASIRETIL
938,1,8,式,422,用語が欠落または短い / ページ認識の確度,式,ox
938,1,10,Parallel Processing,202,用語の読み取り候補が不一致,Parallel Processing,ParallelProcessing:
938,1,12,PBP,918,用語の読み取り候補が不一致,PBP,PBPenveccas:
938,1,17,PDCAサイクル,838,用語の読み取り候補が不一致,PDCA,PDCAサイクル
938,1,20,PeripheralComponentInterconnect,258,用語の読み取り候補が不一致,PeripheralComponentInterconnect,PeripheralComponentInterconnec
938,1,21,PERT図,807,用語の読み取り候補が不一致,PERT网,PERT図
938,1,23,PKI,659,用語の読み取り候補が不一致,PKI,PKIRTTTCTTT
938,1,28,POP3,591,ページ認識の確度,POP3,POP3
938,1,31,PPM,877,用語の読み取り候補が不一致,PPM,PPMpactreccwenanesauccacanabncanasdsscesasenessanse
938,1,35,ProgrammableLogicDevice,158,ページ認識の確度 / 用語の読み取り候補が不一致,ProgrammableLogicDevice,ProgrammableLogicDevice…ETD
938,1,44,RadioFrequencyIDentification,270,用語の読み取り候補が不一致,RadioFrequencyIDentification,RadioFrequencyIDentificationRT
938,1,45,RAID,239,用語の読み取り候補が不一致,RAID,RAIO
938,1,47,RAID1,"239,240",用語の読み取り候補が不一致,RAID1,RAID1me
938,2,1,RAID,"239,241",用語の読み取り候補が不一致,RAID,RAID4
938,2,2,RAID5,"239,241",用語の読み取り候補が不一致,RAID5,RAID5asossaesnds
938,2,3,RAID6,"239,241",用語の読み取り候補が不一致,RAID6,RAID6FT
938,2,5,Random Access Memory,210,用語の読み取り候補が不一致,Random Access Memory,RandomAccessMemoryTTYTTTTYTTTT
938,2,6,Rapid Application Development,694,用語の読み取り候補が不一致,Rapid Application Development,RapidApplicationDevelopmentOL
938,2,7,RARP,561,用語の読み取り候補が不一致,RARP,RARPYTVTTTYYTTTTYYTTT
938,2,8,RASIS,780,用語の読み取り候補が不一致,RASIS,RASISee
938,2,9,RDB,433,用語の読み取り候補が不一致,RDB,RDBTTYTTTTTUTTUUTUTTTTUTUUTUUTTUTUTUTUTUTUUTUT
938,2,10,READY,296,用語の読み取り候補が不一致,READY,READYoancenca
938,2,12,RecoveryPointObjective,823,用語の読み取り候補が不一致,RecoveryPointObjective,RecoveryPointObjectiveET
938,2,13,RecoveryTime Objective,823,用語の読み取り候補が不一致,RecoveryTime Objective,RecoveryTimeObjectiveTTY
938,2,14,Reduced Instruction Set Computer,200,ページ認識の確度,Reduced Instruction Set Computer,ReducedInstructionSetComputer
938,2,15,Relational Database,433,用語の読み取り候補が不一致,Relational Database,RelationalDatabaseTUTTITLTLLTLUTU
938,2,16,reliabilityててscone:,609,用語の読み取り候補が不一致,reliability,reliabilityててscone:
938,2,18,RequestforInformation,675,用語の読み取り候補が不一致,RequestforInformation,RequestforInformationPT
938,2,19,RequestForProposal,675,用語の読み取り候補が不一致,RequestForProposal,RequestForProposalTTY
938,2,20,Return OnAssets,"926,932",用語の読み取り候補が不一致,Return OnAssets,ReturnOnAssetsee
938,2,21,Return On Investment,918,ページ認識の確度 / 用語の読み取り候補が不一致,Return On Investment,ReturnOnInvestmentee
938,2,22,ReverseAddressResolutionProtocol,561,用語の読み取り候補が不一致,ReverseAddressResolutionProtocol,ReverseAddressResolutionProtoc
938,2,23,RFC,575,用語の読み取り候補が不一致,RFC,RFCarenev
938,2,25,RFID,270,用語の読み取り候補が不一致,RFID,RFIDU
938,2,27,RGB,272,ページ認識の確度,RGB,RGB
938,2,29,RLO,823,ページ認識の確度,RLO,RLO
938,2,31,RoboticProcessAutomation,285,ページ認識の確度,RoboticProcessAutomation,RoboticProcessAutomation
938,2,33,RO,918,ページ認識の確度 / 用語の読み取り候補が不一致,RO,ROITOT
938,2,36,rootkit,626,用語の読み取り候補が不一致,rootkit,rootkitrenevw
938,2,39,RSフリップフロップ回路,142,ページ認識の確度 / 用語の読み取り候補が不一致,RS路,RSフリップフロップ回路
938,2,43,S/MIME,593,ページ認識の確度 / 用語の読み取り候補が不一致,S/MIME,S/MIMEpenensnco
938,2,44,SATA,"261,263",用語の読み取り候補が不一致,SATA,SATAv
938,2,45,SCSI,260,ページ認識の確度 / 用語の読み取り候補が不一致,SCSI,SCSITTY
938,2,46,SDN,533,用語の読み取り候補が不一致,SDN,SDNTTYUTUT
938,2,47,Search EngineOptimization,582,用語の読み取り候補が不一致,Search EngineOptimization,SearchEngine
938,2,49,TTYTTTTUUTUTTTUTTLUYTLTUUTUUTUTLU,663,英字の用語が不鮮明 / ページ認識の確度,,TTYTTTTUUTUTTTUTTLUYTLTUUTUUTUTLU
938,2,50,SELECT文,458,用語の読み取り候補が不一致,SELECT文,SELECTee
938,2,51,SEO,582,用語の読み取り候補が不一致,SEO,SEOeesccanscacsa
938,2,52,SEOポイズニング,582,用語の読み取り候補が不一致,SEO,SEOポイズニング
938,2,53,ServiceLevelAgreement,818,用語の読み取り候補が不一致,ServiceLevelAgreement,ServiceLevel
938,2,54,Service Level Management,"818,821",用語の読み取り候補が不一致,Service Level Management,ServiceLevelManagement:ee
938,2,55,Service Oriented Architecture,766,ページ認識の確度,Service Oriented Architecture,ServiceOrientedArchitecture
939,1,1,ServiceSetldentifier,513,用語の読み取り候補が不一致,ServiceSetldentifier,ServiceSetIdentifieree
939,1,2,SHA-1,660,用語の読み取り候補が不一致,SHA-1,SPAebvvssest
939,1,3,SHA2,660,用語の読み取り候補が不一致,SHA2,SHAY
939,1,6,SimpleMail TransferProtocol,573,用語の読み取り候補が不一致,SimpleMail TransferProtocol,SimpleMailTransferProtocolee
939,1,7,Simple Network Management Protoco,567,補完した行を要確認,,Simple Network Management Protoco
939,1,9,SISD,203,用語の読み取り候補が不一致,SISD,SISDTTYUUTYTYTYTTUUUTLTUUTUUUTLTUTTUTLTTT
939,1,14,SMP,202,ページ認識の確度 / 用語の読み取り候補が不一致,SMP,SMPTUUTUUTUUTTUT
939,1,18,SoC,157,用語の読み取り候補が不一致,SoC,SoCTULUT
939,1,19,Software-Defined Network,533,用語の読み取り候補が不一致,Software-Defined Network,Software-DefinedNetworkesaSdsces
939,1,20,SolidStateDrive,247,用語の読み取り候補が不一致,SolidStateDrive,SolidStateDriv
939,1,26,SSID,513,用語の読み取り候補が不一致,SSID,SSIDvev
939,1,27,SSIDステルス,513,用語の読み取り候補が不一致,SSI,SSIDステルス
939,1,30,Static RAM ii bitin ei inna itm el i,211,補完した行を要確認,,Static RAM ii bitin ei inna itm el i
939,1,31,Strength,876,用語の読み取り候補が不一致,Strength,Strengths
939,1,34,SUM,466,用語の読み取り候補が不一致,SUM,SUMesper
939,1,38,System inPackage,157,用語の読み取り候補が不一致,System inPackage,SysteminPackagev
939,1,39,System ona Chip,157,用語の読み取り候補が不一致,System ona Chip,SystemonaChipounaapecccco
939,1,42,TCP,548,用語の読み取り候補が不一致,TCP,TCPesses
939,1,43,TCP/IP,547,用語の読み取り候補が不一致,TCP/IP,TCP/IPsh
939,1,44,Telnet,573,用語の読み取り候補が不一致,Telnet,TelnetTTY
939,1,46,TKIP,512,ページ認識の確度,TKIP,TKIP
939,1,47,TLS,661,用語の読み取り候補が不一致,TLS,TLSCovcevecccvcessurcvco
939,1,48,TO,588,用語の読み取り候補が不一致,TO,TOwuconcencr
939,1,50,traceroute,566,用語の読み取り候補が不一致,traceroute,tracerout
939,1,51,Transmission Control Protocol,548,用語の読み取り候補が不一致,Transmission Control Protocol,TransmissionControlProtocolPUT
939,1,53,Type-C,261,用語の読み取り候補が不一致,Type-C,TypeCTL
939,2,1,Unified ModelingLanguage,736,ページ認識の確度 / 用語の読み取り候補が不一致,Unified ModelingLanguage,UnifiedModelingLanguag
939,2,4,Universal Serial Bus,261,用語の読み取り候補が不一致,Universal Serial Bus,UniversalSerialBusovasecnasencapan
939,2,9,URL,580,用語の読み取り候補が不一致,URL,URLseOnsseea
939,2,11,USBPD,261,用語の読み取り候補が不一致,USBPD,USBPDeas
939,2,15,UTF-16,129,用語の読み取り候補が不一致,UTF-16,UTF-16a
939,2,16,UTF-8,"128,129",用語の読み取り候補が不一致,UTF-8,UTF-8ee
939,2,18,VirtualPrivateNetwork,662,用語の読み取り候補が不一致,VirtualPrivateNetwork,VirtualPrivateNetworkease
939,2,19,VLIW,199,用語の読み取り候補が不一致,VLIW,VLIWee
939,2,21,VRAM,273,用語の読み取り候補が不一致,VRAM,VRAMesp
939,2,24,WAF,"643,644",用語の読み取り候補が不一致,WAF,WAFeneeoe
939,2,26,WAIT,296,用語の読み取り候補が不一致,WAIT,WAITaaapsesoa
939,2,29,Weakness,876,用語の読み取り候補が不一致,Weakness,Weak
939,2,31,Webブラウザ,"577,578",用語の読み取り候補が不一致,Web,Webブラウザ
939,2,33,WHERE句,460,用語の読み取り候補が不一致,WHERE句,WHERE®)deedcr
939,2,34,Windows,284,用語の読み取り候補が不一致,Windows,Windowseo
939,2,36,WorldWideWeb,577,用語の読み取り候補が不一致,WorldWideWeb,WorldWideWebevveersecvocccscvevevenservasescca
939,2,38,www,577,用語の読み取り候補が不一致,www,WWWccev
939,2,41,YAGNI,695,用語の読み取り候補が不一致,YAGNI,YAGNIee
939,2,43,アイソゾクロナス転送,262,用語の読み取り候補が不一致,送,アイソゾクロナス転送
939,2,44,アイドルタイム,302,用語の読み取り候補が不一致,L,アイドルタイム
939,2,47,アクセシビリティ,711,ページ認識の確度,,アクセシビリティ
939,2,49,アクセス管理,619,ページ認識の確度 / 用語の読み取り候補が不一致,管理,アクセス管理
939,2,50,PIA,622,英字の用語が不鮮明,,PIA
939,2,51,アクセス時間,232,用語の読み取り候補が不一致,時間,アクセス時間
939,2,54,アクティブ型,270,ページ認識の確度 / 用語の読み取り候補が不一致,型,アクティブ型
940,1,3,值渡,370,ページ認識の確度,值渡,{GLs
940,1,5,アドホック通信モード,"512,513",用語の読み取り候補が不一致,通,アドホック通信モード
940,1,8,アドレス指定方式,178,用語の読み取り候補が不一致,指定方式,アドレス指定方式
940,1,11,アナログデーで,160,用語の読み取り候補が不一致,一夕,アナログデーで
940,1,13,アムダールの法則,205,用語の読み取り候補が不一致,の法则,アムダールの法則
940,1,15,アルゴリズム,"338,374,403",用語の読み取り候補が不一致,U,アルゴリズム
940,1,17,アローダイアグラム法,847,用語の読み取り候補が不一致,□法,アローダイアグラム法
940,1,18,暗号,660,用語の読み取り候補が不一致,暗号,BSPYVIVALPT
940,1,21,暗合的强度,724,用語の読み取り候補が不一致,暗合的强度,的強度
940,1,23,了暗号ベイロ,663,用語の読み取り候補が不一致,暗号,了暗号ベイロ
940,1,27,意性制約,445,用語の読み取り候補が不一致,一意性制豹,意性制約
940,1,28,次元配列,383,用語の読み取り候補が不一致,一次元配列,次元配列
940,1,29,一買性,488,用語の読み取り候補が不一致,一買性,—RttUTUUU
940,1,33,イベントドリブン方式,301,用語の読み取り候補が不一致,方式,イベントドリブン方式
940,1,37,いわゆるコンピュータ・ウイルスに関す,906,用語の読み取り候補が不一致,罪,いわゆるコンピュータ・ウイルスに関す
940,1,40,インシデント管理,819,用語の読み取り候補が不一致,管理,インシデント管理
940,1,44,インターネット,662,用語の読み取り候補が不一致,夕一,インターネット
940,1,46,インタビュー法,712,用語の読み取り候補が不一致,法,インタビュー法
